Title,Authors,Year,Uncertainty Type,Solving Method,Future predictions
double-horizon based heuristics for the dynamic pickup and delivery problem with time windows,Mitrović-Minić S.; Krishnamurti R.; Laporte G.,2004,Demand,Heuristic,
multi-agent environment for dynamic transport planning and scheduling,Kozlak J.; Créput J.-C.; Hilaire V.; Koukam A.,2004,Demand,Other: MAS,
dynamic vehicle routing based on online traffic information,Fleischmann B.; Gnutzmann S.; Sandvoß E.,2004,Demand and Traffic,Other: Online Management System,
competitive performance assessment of dynamic vehicle routing technologies using sequential auctions,Figliozzi M.A.; Mahmassani H.S.; Jaillet P.,2004,Demand,Other: Bidding Theory,
waiting strategies for the dynamic pickup and delivery problem with time windows,Mitrović-Minić S.; Laporte G.,2004,Demand,Other: Waiting Strategy,
dynamic vehicle routing by means of a genetic algorithm,Pankratz G.,2005,Demand,MetaHeuristic: Evolutionary Algorithm,
multi-agent approach to dynamic pick-up and delivery problem with uncertain knowledge about future transport demands,Koźlak J.; Créput J.-C.; Hilaire V.; Koukam A.,2006,Demand,Other: MAS,X
solving the real time dynamic pickup and delivery problem with time windows with hybrid evolutionary approach,Kammarti R.; Hammadi S.; Borne P.; Ksouri M.,2006,Demand,MetaHeuristic: Evolutionary Algorithm,
lower bounds for multi-stage vehicle routing,Waisanen H.A.; Shah D.; Dahleh M.A.,2007,Demand,Other: Mathematical Lower Bound finding,
an approach on solving the real time dynamic pickup and delivery problem,Yu X.-G.; Yu X.-P.,2007,Demand,MetaHeuristic: Evolutionary Algorithm,
waiting and buffering strategies for the dynamic pickup and delivery problem with time windows,Pureza V.; Laporte G.,2008,Demand and Traffic,Heuristic,
hybrid adaptive predictive control for a dynamic pickup and delivery problem including traffic congestion,Cortés C.E.; Núñez A.; Sáez D.,2008,Demand and Traffic,MetaHeuristic: Evolutionary Algorithm,X
a dynamic pickup and delivery problem in mobile networks under information constraints,Waisanen H.A.; Shah D.; Dahleh M.A.,2008,Demand,Other: Assignment Policies,
communities of autonomous units for pickup and delivery vehicle routing,Kreowski H.-J.; Kuske S.,2008,Demand,Other: MAS,
